id;school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;absences
242;GP;M;17;R;LE3;A;4;4;teacher;other;course;mother;2;2;2
243;GP;M;16;U;LE3;T;4;3;teacher;other;course;mother;1;1;0
244;GP;M;16;U;GT3;T;4;4;services;services;course;mother;1;1;0
245;GP;F;18;U;GT3;T;2;1;other;other;course;other;2;3;0
246;GP;M;16;U;GT3;T;2;1;other;other;course;mother;3;1;6
247;GP;M;17;U;GT3;T;2;3;other;other;course;father;2;1;4
248;GP;M;22;U;GT3;T;3;1;services;services;other;mother;1;1;16
249;GP;M;18;R;LE3;T;3;3;other;services;course;mother;1;2;8
250;GP;M;16;U;GT3;T;0;2;other;other;other;mother;1;1;0
251;GP;M;18;U;GT3;T;3;2;services;other;course;mother;2;1;0
252;GP;M;16;U;GT3;T;3;3;at_home;other;reputation;other;3;2;6
253;GP;M;18;U;GT3;T;2;1;services;services;other;mother;1;1;4
254;GP;M;16;R;GT3;T;2;1;other;other;course;mother;2;1;0
255;GP;M;17;R;GT3;T;2;1;other;other;course;mother;1;1;0
256;GP;M;17;U;LE3;T;1;1;health;other;course;mother;2;1;2
257;GP;F;17;U;LE3;T;4;2;teacher;services;reputation;mother;1;4;6
258;GP;M;19;U;LE3;A;4;3;services;at_home;reputation;mother;1;2;12
259;GP;M;18;U;GT3;T;2;1;other;other;home;mother;1;2;8
260;GP;F;17;U;LE3;T;2;2;services;services;course;father;1;4;0
261;GP;F;18;U;GT3;T;4;3;services;other;home;father;1;2;21
262;GP;M;18;U;GT3;T;4;3;teacher;other;course;mother;1;2;2
263;GP;M;18;R;GT3;T;3;2;other;other;course;mother;1;3;1
264;GP;F;17;U;GT3;T;3;3;other;other;home;mother;1;3;4
265;GP;F;18;U;GT3;T;2;2;at_home;services;home;mother;1;3;0
266;GP;M;18;R;LE3;A;3;4;other;other;reputation;mother;2;2;13
267;GP;M;17;U;GT3;T;3;1;services;other;other;mother;1;2;2
268;GP;F;18;R;GT3;T;4;4;teacher;other;reputation;mother;2;2;8
269;GP;M;18;U;GT3;T;4;2;health;other;reputation;father;1;2;10
270;GP;F;18;R;GT3;T;2;1;other;other;reputation;mother;2;2;0
271;GP;F;19;U;GT3;T;3;3;other;services;home;other;1;2;15
272;GP;F;18;U;GT3;T;2;3;other;services;reputation;father;1;4;4
273;GP;F;18;U;LE3;T;1;1;other;other;home;mother;2;2;2
274;GP;M;17;R;GT3;T;1;2;at_home;at_home;home;mother;1;2;2
275;GP;F;17;U;GT3;T;2;4;at_home;health;reputation;mother;2;2;2
276;GP;F;17;U;LE3;T;2;2;services;other;course;mother;2;2;6
277;GP;F;18;R;GT3;A;3;2;other;services;home;mother;2;2;75
278;GP;M;18;U;GT3;T;4;4;teacher;services;home;mother;2;1;22
279;GP;F;18;U;GT3;T;4;4;health;health;reputation;father;1;2;15
280;GP;M;18;U;LE3;T;4;3;teacher;services;course;mother;2;1;8
281;GP;M;17;U;LE3;A;4;1;services;other;home;mother;2;1;30
282;GP;M;17;U;LE3;A;3;2;teacher;services;home;mother;1;1;19
283;GP;F;18;R;LE3;T;1;1;at_home;other;reputation;mother;2;4;1
284;GP;F;18;U;GT3;T;1;1;other;other;home;mother;2;2;4
285;GP;F;17;U;GT3;T;2;2;other;other;course;mother;1;2;4
286;GP;M;17;U;GT3;T;1;1;other;other;reputation;father;1;2;2
287;GP;F;18;U;GT3;T;2;2;at_home;at_home;other;mother;1;3;5
288;GP;F;17;U;GT3;T;1;1;services;teacher;reputation;mother;1;3;6
289;GP;M;18;U;GT3;T;2;1;services;services;reputation;mother;1;3;6
290;GP;M;18;U;LE3;A;4;4;teacher;teacher;reputation;mother;1;2;9
291;GP;M;18;U;GT3;T;4;2;teacher;other;home;mother;1;2;11
292;GP;F;17;U;GT3;T;4;3;health;services;reputation;mother;1;3;0
293;GP;F;18;U;LE3;T;2;1;services;at_home;reputation;mother;1;2;12
294;GP;F;17;R;LE3;T;3;1;services;other;reputation;mother;2;4;6
295;GP;M;18;R;LE3;T;3;2;services;other;reputation;mother;2;3;8
296;GP;M;17;U;GT3;T;3;3;health;other;home;mother;1;1;4
297;GP;F;19;U;GT3;T;4;4;health;other;reputation;other;2;2;0
298;GP;F;18;U;LE3;T;4;3;other;other;home;other;2;2;10
299;GP;F;18;U;GT3;T;4;3;other;other;reputation;father;1;4;0
300;GP;M;18;U;LE3;T;4;4;teacher;teacher;home;mother;1;1;5
301;GP;F;18;U;LE3;A;4;4;health;other;home;mother;1;2;14
302;GP;M;17;U;LE3;T;4;4;other;teacher;home;father;2;1;0
303;GP;F;17;U;GT3;T;4;2;other;other;reputation;mother;2;3;0
304;GP;F;17;U;GT3;T;3;2;health;health;reputation;father;1;4;0
305;GP;M;19;U;GT3;T;3;3;other;other;home;other;1;2;20
306;GP;F;18;U;GT3;T;2;4;services;at_home;reputation;other;1;2;8
307;GP;M;20;U;GT3;A;3;2;services;other;course;other;1;1;0
308;GP;M;19;U;GT3;T;4;4;teacher;services;reputation;other;2;1;38
309;GP;M;19;R;GT3;T;3;3;other;services;reputation;father;1;2;0
310;GP;F;19;U;LE3;T;1;1;at_home;other;reputation;other;1;2;18
311;GP;F;19;U;LE3;T;1;2;services;services;home;other;1;2;0
312;GP;F;19;U;GT3;T;2;1;at_home;other;other;other;3;2;20
313;GP;M;19;U;GT3;T;1;2;other;services;course;other;1;2;3
314;GP;F;19;U;LE3;T;3;2;services;other;reputation;other;2;2;22
315;GP;F;19;U;GT3;T;1;1;at_home;health;home;other;1;3;14
316;GP;F;19;R;GT3;T;2;3;other;other;reputation;other;1;3;40
317;GP;F;18;U;GT3;T;2;1;services;other;course;mother;2;2;0
318;GP;F;18;U;GT3;T;4;3;other;other;course;mother;1;3;9
319;GP;F;17;R;GT3;T;3;4;at_home;services;course;father;1;3;0
320;GP;F;18;U;GT3;T;4;4;teacher;other;course;mother;1;2;2
321;GP;F;17;U;GT3;A;4;3;services;services;course;mother;1;2;23
322;GP;F;17;U;GT3;T;2;2;other;other;course;mother;1;2;12
323;GP;F;17;R;LE3;T;2;2;services;services;course;mother;1;3;3
324;GP;F;17;U;GT3;T;3;1;services;services;course;father;1;3;1
325;GP;F;17;U;LE3;T;0;2;at_home;at_home;home;father;2;3;0
326;GP;M;18;U;GT3;T;4;4;other;other;course;mother;1;3;3
327;GP;M;17;U;GT3;T;3;3;other;services;reputation;mother;1;1;3
328;GP;M;17;R;GT3;T;2;2;services;other;course;mother;4;1;8
329;GP;F;17;U;GT3;T;4;4;teacher;services;course;mother;1;3;7
330;GP;F;17;U;GT3;T;4;4;teacher;teacher;course;mother;2;3;4
331;GP;M;18;U;LE3;T;2;2;other;other;course;mother;1;4;2
332;GP;F;17;R;GT3;T;2;4;at_home;other;course;father;1;3;7
333;GP;F;18;U;GT3;T;3;3;services;services;home;mother;1;2;0
334;GP;F;18;U;LE3;T;2;2;other;other;home;other;1;2;0
335;GP;F;18;R;GT3;T;2;2;at_home;other;course;mother;2;4;0
336;GP;F;17;U;GT3;T;3;4;services;other;course;mother;1;3;16
337;GP;F;19;R;GT3;A;3;1;services;at_home;home;other;1;3;12
338;GP;F;17;U;GT3;T;3;2;other;other;home;mother;1;2;0
339;GP;F;18;U;LE3;T;3;3;services;services;home;mother;1;4;7
340;GP;F;17;R;GT3;A;3;2;other;other;home;mother;1;2;4
341;GP;F;19;U;GT3;T;2;1;services;services;home;other;1;3;4
342;GP;M;18;U;GT3;T;4;4;teacher;services;home;father;1;2;0
343;GP;M;18;U;LE3;T;3;4;services;other;home;mother;1;2;11
344;GP;F;17;U;GT3;A;2;2;at_home;at_home;home;father;1;2;0
345;GP;F;18;U;GT3;T;2;3;at_home;other;course;mother;1;3;4
346;GP;F;18;U;GT3;T;3;2;other;services;other;mother;1;3;7
347;GP;M;18;R;GT3;T;4;3;teacher;services;course;mother;1;3;9
348;GP;M;18;U;GT3;T;4;3;teacher;other;course;mother;1;3;0
349;GP;F;17;U;GT3;T;4;3;health;other;reputation;mother;1;3;0
350;MS;M;18;R;GT3;T;3;2;other;other;course;mother;2;1;10
351;MS;M;19;R;GT3;T;1;1;other;services;home;other;3;2;8
352;MS;M;17;U;GT3;T;3;3;health;other;course;mother;2;2;2
353;MS;M;18;U;LE3;T;1;3;at_home;services;course;mother;1;1;7
354;MS;M;19;R;GT3;T;1;1;other;other;home;other;3;1;4
355;MS;M;17;R;GT3;T;4;3;services;other;home;mother;2;2;4
356;MS;F;18;U;GT3;T;3;3;services;services;course;father;1;2;0
357;MS;F;17;R;GT3;T;4;4;teacher;services;other;father;2;2;4
358;MS;F;17;U;LE3;A;3;2;services;other;reputation;mother;2;2;2
359;MS;M;18;U;LE3;T;1;1;other;services;home;father;2;1;4
360;MS;F;18;U;LE3;T;1;1;at_home;services;course;father;2;3;0
361;MS;F;18;R;LE3;A;1;4;at_home;other;course;mother;3;2;0
362;MS;M;18;R;LE3;T;1;1;at_home;other;other;mother;2;2;2
363;MS;F;18;U;GT3;T;3;3;services;services;other;mother;2;2;0
364;MS;F;17;U;LE3;T;4;4;at_home;at_home;course;mother;1;2;0
365;MS;F;17;R;GT3;T;1;2;other;services;course;father;2;2;0
366;MS;M;18;R;GT3;T;1;3;at_home;other;course;mother;2;2;4
367;MS;M;18;U;LE3;T;4;4;teacher;services;other;mother;2;3;0
368;MS;F;17;R;GT3;T;1;1;other;services;reputation;mother;3;1;0
369;MS;F;18;U;GT3;T;2;3;at_home;services;course;father;2;1;0
370;MS;F;18;R;GT3;T;4;4;other;teacher;other;father;3;2;10
371;MS;F;19;U;LE3;T;3;2;services;services;home;other;2;2;4
372;MS;M;18;R;LE3;T;1;2;at_home;services;other;father;3;1;3
373;MS;F;17;U;GT3;T;2;2;other;at_home;home;mother;1;3;8
374;MS;F;17;R;GT3;T;1;2;other;other;course;mother;1;1;14
