id;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health
31;0;no;yes;yes;no;no;yes;yes;no;5;4;2;3;4;5
32;0;no;yes;no;yes;yes;yes;yes;no;4;3;1;1;1;5
33;0;no;yes;no;yes;yes;yes;yes;yes;4;5;2;1;1;5
34;0;no;no;no;yes;no;yes;yes;no;5;3;2;1;1;2
35;0;no;yes;yes;no;no;yes;yes;no;5;4;3;1;1;5
36;0;no;yes;no;yes;yes;yes;no;no;3;5;1;1;1;5
37;0;no;yes;no;yes;yes;yes;yes;no;5;4;3;1;1;4
38;0;no;yes;no;yes;yes;yes;yes;yes;2;4;3;1;1;5
39;0;yes;yes;yes;yes;yes;yes;yes;no;4;3;2;1;1;5
40;0;yes;yes;yes;yes;yes;yes;no;no;4;3;1;1;1;2
41;1;no;yes;no;yes;no;yes;yes;yes;3;3;3;1;2;3
42;0;no;yes;no;no;no;yes;yes;yes;5;4;3;2;4;5
43;0;no;yes;no;yes;yes;yes;yes;no;4;3;3;1;1;5
44;0;yes;yes;no;no;yes;yes;yes;no;5;4;1;1;1;1
45;1;yes;no;no;yes;yes;yes;yes;no;4;3;3;2;2;5
46;0;yes;yes;yes;yes;yes;yes;yes;yes;5;2;2;1;1;5
47;0;no;yes;no;no;yes;yes;yes;no;2;3;5;1;4;3
48;0;no;no;no;yes;yes;yes;yes;no;4;2;2;1;1;2
49;0;no;yes;yes;no;yes;yes;no;no;4;3;3;2;2;5
50;1;yes;yes;no;yes;no;yes;yes;no;4;4;4;1;1;3
51;0;no;yes;yes;no;yes;yes;yes;no;4;3;3;2;3;4
52;0;no;yes;yes;no;yes;yes;yes;no;4;3;3;1;1;5
53;1;no;no;no;no;yes;yes;no;no;5;5;5;3;4;5
54;0;yes;yes;yes;no;yes;yes;yes;no;3;3;4;2;3;5
55;0;no;no;yes;no;yes;yes;yes;no;5;3;4;4;4;1
56;0;no;no;yes;yes;yes;yes;yes;yes;5;3;4;1;1;2
57;0;no;yes;yes;yes;yes;yes;yes;no;4;3;2;1;1;1
58;0;no;yes;no;yes;yes;yes;no;no;3;2;2;1;1;5
59;0;yes;yes;no;yes;yes;yes;yes;no;4;3;2;1;1;5
60;0;no;yes;no;no;yes;yes;yes;no;4;2;3;1;1;5
61;0;no;yes;no;yes;yes;yes;no;no;2;4;4;2;3;4
62;0;yes;yes;no;yes;no;yes;yes;yes;5;5;5;5;5;5
63;0;yes;no;no;yes;yes;yes;yes;no;4;4;3;1;1;1
64;0;yes;yes;yes;yes;yes;yes;yes;no;3;4;4;2;4;4
65;0;yes;no;no;yes;yes;yes;yes;yes;4;4;4;2;4;2
66;0;no;yes;no;yes;yes;yes;yes;no;5;4;3;1;2;1
67;0;no;yes;no;yes;no;yes;yes;yes;1;3;3;5;5;3
68;0;yes;yes;yes;no;yes;yes;yes;no;4;3;3;1;2;5
69;0;yes;yes;yes;no;yes;yes;yes;no;4;1;3;1;3;4
70;0;no;yes;no;no;no;yes;yes;no;4;4;2;2;3;3
71;0;no;yes;yes;no;yes;yes;yes;no;4;3;2;1;1;5
72;0;no;no;no;no;yes;yes;yes;no;3;3;3;1;1;3
73;2;yes;yes;no;no;no;yes;yes;yes;3;3;4;2;4;5
74;0;no;no;no;yes;yes;yes;no;no;5;3;2;2;2;5
75;0;yes;yes;yes;yes;yes;yes;yes;no;4;3;3;2;4;5
76;0;no;yes;yes;yes;yes;yes;yes;no;4;3;3;2;3;5
77;0;no;no;no;yes;yes;yes;yes;no;3;4;3;1;1;1
78;0;no;no;yes;no;yes;yes;yes;yes;5;2;3;1;3;3
79;3;yes;yes;no;yes;yes;no;yes;no;4;5;1;1;1;3
80;0;no;yes;no;no;yes;yes;yes;no;2;4;3;1;2;3
81;0;yes;yes;yes;yes;no;yes;yes;yes;3;2;2;1;3;3
82;0;yes;no;yes;no;no;yes;yes;no;5;3;2;1;2;5
83;0;no;yes;yes;no;yes;yes;yes;no;4;4;4;1;1;5
84;0;no;no;yes;yes;yes;yes;yes;no;5;3;3;1;3;4
85;0;no;yes;no;yes;no;yes;yes;no;4;3;2;2;3;4
86;2;no;no;yes;no;yes;yes;yes;yes;4;4;4;2;3;5
87;0;no;yes;no;no;yes;yes;no;no;4;3;4;1;2;2
88;0;no;yes;no;yes;yes;yes;yes;no;5;3;3;1;3;1
89;1;no;no;yes;yes;no;yes;yes;no;4;4;2;1;1;3
90;0;no;yes;no;no;yes;yes;no;no;4;1;3;3;5;5
91;0;no;yes;yes;no;yes;yes;yes;yes;4;3;3;1;3;4
92;0;no;no;yes;yes;yes;yes;yes;no;4;5;5;1;3;1
93;0;yes;yes;no;no;yes;yes;no;no;3;3;3;2;3;2
94;0;no;yes;yes;yes;yes;yes;yes;no;5;3;3;1;1;1
95;0;no;yes;no;yes;yes;yes;yes;no;4;3;4;1;1;4
96;1;yes;yes;yes;yes;yes;yes;yes;no;3;1;2;1;1;1
97;0;yes;yes;no;yes;no;yes;yes;no;3;3;3;1;1;4
98;0;no;yes;yes;no;yes;yes;no;yes;4;3;5;1;1;5
99;0;no;no;no;yes;no;yes;yes;no;5;3;4;1;2;1
100;0;yes;yes;yes;no;yes;yes;yes;no;5;3;5;1;1;3
101;0;yes;yes;yes;yes;yes;yes;yes;no;4;5;5;5;5;4
102;0;no;yes;no;yes;yes;yes;yes;yes;4;4;3;1;1;4
103;0;no;yes;no;yes;no;yes;yes;no;5;3;3;1;1;5
104;0;yes;yes;yes;no;yes;yes;yes;no;4;3;5;1;1;2
105;0;no;yes;yes;yes;yes;yes;yes;no;5;4;4;1;1;1
106;0;yes;no;no;no;yes;yes;no;no;4;3;3;1;1;4
107;0;yes;yes;yes;no;yes;yes;yes;no;5;1;2;1;1;3
108;0;no;yes;no;yes;yes;yes;yes;no;5;3;3;1;1;5
109;0;no;yes;yes;yes;yes;yes;yes;yes;1;3;5;3;5;1
110;0;no;yes;yes;yes;yes;yes;yes;yes;5;4;5;1;1;4
111;0;no;no;no;yes;yes;yes;yes;no;5;5;3;1;1;4
112;1;yes;yes;no;yes;yes;yes;yes;no;4;1;2;1;1;2
113;1;yes;no;no;yes;yes;yes;yes;no;3;1;2;1;1;5
114;0;no;no;no;no;yes;yes;yes;no;3;5;2;1;1;3
115;0;no;no;no;yes;yes;yes;yes;yes;5;4;2;1;1;5
116;0;no;yes;no;yes;yes;yes;yes;no;5;4;4;1;2;5
117;0;no;yes;no;yes;yes;yes;no;no;4;4;3;1;1;2
118;0;no;no;no;yes;yes;yes;yes;no;5;4;2;1;1;5
119;1;no;yes;no;yes;yes;yes;yes;no;5;2;4;1;4;5
120;0;no;no;no;no;yes;yes;yes;no;3;4;3;1;2;4
121;0;no;no;no;no;no;yes;yes;no;3;2;3;1;2;1
122;0;no;yes;yes;yes;yes;yes;yes;no;5;5;4;1;2;5
123;0;no;yes;yes;yes;yes;yes;yes;yes;4;2;2;1;2;5
124;0;no;yes;no;yes;yes;yes;yes;no;3;4;4;1;4;5
125;0;no;no;yes;no;yes;yes;yes;yes;5;4;4;1;1;5
126;0;yes;no;no;no;yes;yes;yes;no;5;5;5;3;2;5
127;0;yes;no;no;yes;yes;yes;yes;yes;5;3;2;1;1;1
128;3;no;yes;no;no;no;no;no;no;3;4;2;1;1;5
129;2;no;yes;no;yes;yes;yes;yes;no;3;3;3;1;2;4
130;0;no;no;yes;yes;yes;yes;yes;no;3;5;5;2;5;4
131;2;no;yes;no;no;yes;yes;yes;yes;4;2;2;2;2;5
132;0;no;yes;no;yes;no;yes;yes;yes;4;3;3;1;2;4
133;0;no;yes;no;no;yes;yes;yes;yes;3;4;4;1;3;5
134;0;no;no;no;no;yes;yes;yes;no;3;2;1;1;4;5
135;0;no;yes;no;no;yes;yes;no;yes;5;3;3;1;1;5
136;0;no;yes;no;yes;yes;yes;yes;yes;4;3;3;1;1;5
137;0;no;no;no;no;yes;yes;no;no;5;4;5;2;4;5
138;2;no;yes;no;yes;no;yes;yes;yes;4;3;2;1;1;5
139;1;no;no;no;no;yes;yes;no;yes;4;4;4;1;3;5
140;0;no;no;no;yes;yes;yes;yes;no;4;3;2;1;1;5
141;0;yes;yes;no;no;yes;yes;yes;no;2;2;2;1;1;3
142;2;no;yes;no;yes;yes;yes;yes;no;2;3;3;2;2;2
143;0;no;yes;yes;yes;yes;yes;yes;no;4;2;2;1;1;5
144;0;no;no;no;no;yes;yes;yes;no;3;4;4;3;3;1
145;3;no;yes;no;no;yes;yes;yes;no;5;4;5;1;2;5
146;0;no;yes;yes;no;yes;yes;yes;no;4;4;2;1;2;5
147;3;no;yes;no;no;yes;yes;yes;no;3;3;2;1;1;3
148;0;no;yes;yes;no;no;yes;yes;no;4;3;2;1;1;5
149;0;no;yes;no;no;yes;no;yes;yes;3;3;2;2;1;5
150;3;no;no;no;no;yes;yes;yes;no;4;5;5;2;5;5
151;3;no;no;no;no;yes;no;yes;yes;2;3;5;2;5;4
152;1;no;no;no;yes;yes;yes;no;yes;4;4;4;3;5;5
153;2;no;yes;yes;yes;yes;yes;yes;yes;4;2;1;2;3;3
154;3;no;yes;no;no;yes;no;yes;yes;4;5;4;1;1;4
155;0;yes;yes;no;no;yes;yes;no;yes;4;2;1;1;1;4
156;0;yes;no;yes;yes;yes;yes;no;no;4;4;4;1;1;1
157;0;no;no;no;no;yes;yes;no;no;2;2;2;3;3;5
158;3;no;yes;no;yes;no;yes;no;no;5;2;5;1;5;4
159;0;no;no;no;no;no;yes;no;no;4;2;2;1;2;3
160;1;no;yes;yes;no;yes;yes;yes;yes;4;5;5;4;4;5
161;2;no;no;no;yes;yes;no;yes;yes;3;3;2;2;2;5
162;2;yes;yes;no;no;yes;yes;yes;yes;4;4;4;1;4;3
163;1;no;no;no;yes;yes;yes;no;no;4;4;4;2;4;5
164;0;no;no;no;no;yes;no;yes;no;5;3;3;1;4;2
165;3;no;no;no;yes;yes;no;no;yes;5;3;5;1;5;5
166;1;no;yes;no;yes;no;no;no;no;4;5;2;1;1;2
167;0;no;no;no;no;yes;no;yes;no;4;3;5;2;4;4
168;0;no;no;yes;no;yes;yes;yes;yes;4;2;3;1;1;3
169;0;no;yes;yes;no;no;yes;yes;no;5;1;5;1;1;4
170;0;no;yes;yes;no;yes;yes;yes;yes;4;4;2;1;1;3
171;2;no;yes;no;yes;no;yes;yes;no;3;4;5;2;4;2
172;0;no;yes;yes;yes;yes;yes;yes;yes;4;3;2;1;1;3
173;0;no;yes;yes;yes;yes;yes;yes;no;4;4;4;1;3;5
174;3;no;no;no;yes;no;yes;yes;yes;4;3;5;1;1;3
175;0;no;yes;yes;yes;yes;yes;yes;no;4;4;5;1;1;4
176;0;no;no;yes;yes;yes;yes;yes;no;4;4;4;4;4;4
177;0;no;no;yes;yes;no;yes;yes;no;3;4;4;1;4;5
178;0;no;no;no;yes;no;yes;yes;no;4;3;4;1;4;4
179;0;no;yes;no;yes;yes;yes;yes;yes;4;3;3;3;4;3
180;0;no;yes;no;yes;yes;yes;yes;yes;5;2;3;1;1;2
181;0;no;yes;yes;yes;yes;yes;yes;no;3;4;3;2;3;3
182;0;no;no;yes;yes;yes;yes;yes;yes;4;2;3;1;2;3
183;0;no;yes;no;yes;yes;yes;no;no;5;4;2;2;3;5
184;0;no;yes;no;yes;yes;yes;yes;yes;5;3;3;2;3;1
185;0;no;yes;yes;no;yes;yes;yes;no;1;2;2;1;2;1
186;0;no;yes;no;yes;yes;yes;yes;yes;4;3;4;2;3;4
187;0;no;yes;yes;yes;yes;yes;yes;yes;3;3;3;1;2;3
188;0;no;no;yes;yes;yes;yes;yes;yes;4;2;3;1;2;5
189;0;no;yes;no;no;no;yes;yes;yes;3;3;3;1;3;3
190;0;no;no;no;no;yes;yes;no;no;3;1;3;1;5;3
191;0;no;no;no;no;yes;yes;yes;no;4;3;3;1;1;2
192;0;no;no;no;yes;yes;yes;yes;no;5;3;3;1;1;3
193;0;no;no;yes;yes;no;yes;yes;no;4;4;4;4;5;5
194;0;no;yes;no;yes;yes;yes;yes;no;4;3;2;3;4;5
195;0;no;no;no;no;yes;yes;yes;no;5;3;3;1;1;3
196;0;no;no;no;yes;yes;yes;yes;yes;4;3;2;1;1;5
197;0;no;no;no;no;yes;yes;yes;no;5;2;3;1;2;5
198;0;no;yes;yes;yes;yes;yes;yes;no;3;3;4;3;5;3
199;1;no;yes;no;no;yes;yes;yes;no;4;2;4;2;3;2
200;0;no;yes;yes;no;yes;yes;yes;no;4;5;2;1;2;3
201;0;no;yes;no;yes;yes;yes;yes;no;4;3;5;1;5;2
202;0;yes;yes;yes;yes;yes;yes;no;no;4;4;3;1;3;4
203;0;no;yes;yes;no;no;yes;no;no;4;4;4;1;3;1
204;0;no;yes;no;no;yes;yes;yes;no;5;3;2;1;2;3
205;0;no;yes;yes;yes;no;yes;yes;no;5;3;5;1;1;5
206;1;no;yes;yes;no;yes;yes;yes;yes;4;4;3;3;4;5
207;3;no;yes;yes;no;yes;yes;yes;no;2;3;3;2;2;4
208;0;no;no;yes;yes;yes;yes;yes;yes;1;3;2;1;1;1
209;0;no;yes;yes;no;yes;yes;no;no;4;3;2;1;4;5
210;0;no;yes;yes;yes;yes;yes;yes;yes;4;4;2;1;1;4
211;0;no;yes;yes;yes;yes;yes;yes;no;4;3;3;1;2;3
212;0;no;yes;yes;no;yes;yes;yes;yes;5;3;5;4;5;3
213;0;yes;yes;yes;no;yes;yes;yes;no;3;3;4;1;1;4
214;1;no;yes;yes;yes;yes;yes;yes;no;4;4;4;2;4;5
215;0;no;yes;yes;no;yes;yes;no;no;5;2;1;1;2;3
216;0;no;no;yes;no;yes;yes;yes;no;4;4;4;1;3;1
217;2;no;no;yes;no;yes;yes;yes;yes;3;4;5;2;4;1
218;1;no;yes;yes;no;yes;yes;yes;no;3;2;4;2;4;4
219;0;no;yes;yes;no;yes;yes;no;no;3;3;3;1;4;3
220;0;no;yes;yes;yes;yes;yes;yes;no;4;3;3;1;1;4
221;0;no;yes;no;yes;yes;yes;yes;no;4;2;5;1;2;5
222;1;no;yes;no;yes;yes;yes;no;yes;4;3;4;1;1;5
223;0;yes;no;no;no;yes;yes;yes;no;2;3;1;1;1;3
224;0;no;yes;yes;no;yes;yes;yes;no;3;3;3;5;5;4
225;0;no;yes;no;yes;no;yes;yes;no;5;3;2;1;1;5
226;1;no;no;no;yes;yes;yes;yes;yes;5;3;3;1;1;4
227;0;no;no;no;yes;no;yes;yes;no;5;3;4;1;3;3
228;0;no;yes;yes;no;no;yes;yes;no;5;3;3;1;3;3
229;0;yes;yes;yes;yes;yes;yes;yes;yes;4;3;2;4;5;3
230;0;no;no;no;yes;yes;yes;yes;yes;3;2;3;1;2;3
231;0;no;no;no;yes;yes;yes;yes;yes;3;2;3;1;2;3
232;0;no;yes;yes;yes;yes;yes;yes;no;4;5;2;1;1;1
233;0;yes;yes;no;yes;yes;yes;yes;yes;4;5;5;1;3;2
234;0;no;yes;yes;yes;yes;yes;yes;no;4;2;4;2;4;1
235;0;no;yes;yes;no;yes;yes;yes;no;3;4;2;1;1;5
236;0;no;no;no;yes;yes;yes;yes;yes;5;3;3;1;3;2
237;0;no;no;yes;yes;no;yes;yes;yes;4;4;2;5;5;4
238;0;no;no;no;no;yes;yes;yes;yes;4;5;2;1;1;5
239;0;no;no;no;yes;yes;yes;no;no;2;1;1;1;1;3
240;1;no;no;no;no;yes;no;yes;no;5;5;4;3;5;2
241;0;no;no;no;yes;yes;yes;yes;yes;2;5;5;1;4;5
242;0;no;yes;yes;no;yes;yes;yes;no;3;3;3;2;3;4
243;0;no;no;no;yes;no;yes;yes;no;5;4;5;1;1;3
244;0;no;no;no;yes;yes;yes;yes;no;5;3;2;1;2;5
245;0;no;yes;yes;no;no;yes;yes;yes;4;4;4;1;1;3
246;0;no;no;no;no;yes;yes;yes;no;4;3;3;1;1;4
247;0;no;no;no;no;yes;yes;yes;no;5;2;2;1;1;2
248;3;no;no;no;no;no;no;yes;yes;5;4;5;5;5;1
249;1;no;yes;no;no;yes;yes;yes;yes;4;3;3;1;3;5
250;0;no;no;yes;no;no;yes;yes;no;4;3;2;2;4;5
251;1;no;no;no;no;yes;no;yes;no;4;4;5;2;4;5
252;0;yes;yes;no;no;no;yes;yes;no;5;3;3;1;3;2
253;1;no;no;no;no;no;no;yes;no;3;2;5;2;5;5
254;0;no;no;no;yes;no;yes;no;no;3;3;2;1;3;3
255;0;no;no;no;no;no;yes;yes;no;4;4;2;2;4;5
256;1;no;yes;no;yes;yes;yes;yes;no;4;4;4;1;2;5
257;0;no;yes;yes;yes;yes;yes;yes;no;4;2;3;1;1;4
258;0;no;yes;no;no;yes;yes;yes;no;4;3;1;1;1;1
259;0;no;no;no;yes;yes;yes;yes;no;5;2;4;1;2;4
260;0;no;no;yes;yes;yes;yes;yes;yes;3;4;1;1;1;2
261;0;no;yes;yes;no;yes;yes;yes;yes;3;1;2;1;3;2
262;0;no;yes;yes;no;no;yes;yes;no;4;3;2;1;1;3
263;0;no;no;no;yes;no;yes;no;no;5;3;2;1;1;3
264;0;no;no;no;yes;no;yes;no;no;3;2;3;1;1;4
265;0;no;yes;yes;yes;yes;yes;yes;yes;4;3;3;1;1;3
266;0;no;yes;yes;yes;yes;yes;yes;no;4;2;5;3;4;1
267;0;no;no;yes;yes;yes;yes;yes;yes;5;4;4;3;4;5
268;0;no;no;yes;yes;yes;yes;yes;no;4;3;4;2;2;4
269;0;no;yes;yes;yes;yes;yes;yes;yes;5;4;5;1;3;5
270;0;no;yes;no;no;yes;no;yes;yes;4;3;5;1;2;3
271;2;no;yes;yes;yes;yes;yes;yes;no;4;3;5;3;3;5
272;0;no;yes;yes;yes;yes;yes;yes;yes;4;5;5;1;3;2
273;0;no;yes;yes;no;no;yes;no;no;4;4;3;1;1;3
274;0;no;yes;yes;yes;no;yes;no;yes;3;5;2;2;2;1
275;0;no;yes;yes;no;yes;yes;yes;yes;4;3;3;1;1;1
276;0;yes;yes;yes;no;yes;yes;yes;yes;4;4;4;2;3;5
277;0;no;no;no;no;no;no;yes;yes;4;1;1;1;1;5
278;0;no;no;yes;yes;yes;yes;yes;no;3;2;4;1;4;3
279;1;yes;yes;no;yes;yes;yes;yes;yes;2;4;4;1;1;4
280;0;no;no;yes;yes;yes;yes;yes;no;4;2;3;1;2;1
281;0;no;no;yes;yes;yes;yes;yes;yes;4;5;4;2;4;5
282;1;no;no;no;no;yes;yes;yes;no;4;4;4;3;4;3
283;0;no;yes;yes;yes;yes;yes;no;no;5;2;2;1;1;3
284;0;yes;no;no;yes;yes;yes;yes;no;5;4;4;1;1;4
285;0;no;yes;no;no;no;yes;yes;no;5;4;5;1;2;5
286;0;no;no;yes;no;no;yes;yes;no;4;3;3;1;2;4
287;0;no;yes;yes;no;yes;yes;yes;no;4;3;3;1;2;2
288;0;no;yes;yes;no;yes;yes;yes;no;4;3;3;1;1;3
289;0;no;no;yes;yes;yes;yes;yes;no;4;2;4;1;3;2
290;0;no;yes;yes;yes;yes;yes;yes;no;5;4;3;1;1;2
291;0;no;yes;yes;yes;yes;yes;yes;yes;4;3;2;1;4;5
292;0;no;yes;yes;no;yes;yes;yes;no;4;2;2;1;2;3
293;1;no;no;no;no;yes;yes;yes;yes;5;4;3;1;1;5
294;0;no;yes;yes;no;yes;yes;no;no;3;1;2;1;1;3
295;0;no;yes;yes;yes;yes;yes;yes;no;5;4;2;1;1;4
296;0;no;yes;yes;no;yes;yes;yes;no;4;4;3;1;3;5
297;0;no;yes;yes;yes;yes;yes;yes;no;2;3;4;2;3;2
298;0;no;yes;yes;no;yes;yes;yes;yes;4;4;5;1;2;2
299;0;no;yes;yes;no;yes;yes;yes;no;4;3;3;1;1;3
300;0;no;yes;yes;no;yes;yes;yes;yes;1;4;2;2;2;1
301;0;no;yes;no;no;yes;yes;yes;yes;4;2;4;1;1;4
302;0;no;no;yes;no;yes;yes;yes;no;4;1;1;2;2;5
303;0;no;yes;yes;no;yes;yes;yes;no;4;3;3;1;1;3
304;0;no;yes;yes;yes;no;yes;yes;no;5;2;2;1;2;5
305;1;no;yes;no;yes;yes;yes;yes;yes;4;4;4;1;1;3
306;1;no;yes;yes;yes;yes;yes;yes;no;4;4;3;1;1;3
307;0;no;no;no;yes;yes;yes;no;no;5;5;3;1;1;5
308;1;no;yes;yes;no;yes;yes;yes;yes;4;3;4;1;1;4
309;1;no;no;no;yes;yes;yes;no;yes;4;5;3;1;2;5
310;1;yes;yes;no;yes;no;yes;yes;no;4;4;3;1;3;3
311;1;no;no;no;yes;no;yes;no;yes;4;2;4;2;2;3
312;0;no;yes;no;no;yes;no;yes;yes;3;4;1;1;1;2
313;1;no;no;no;no;no;yes;yes;no;4;5;2;2;2;4
314;1;no;yes;yes;no;no;yes;yes;yes;4;2;2;1;2;1
315;2;no;no;no;no;no;yes;yes;yes;4;1;2;1;1;3
316;1;no;no;no;no;yes;yes;yes;yes;4;1;2;1;1;3
317;0;no;yes;yes;yes;yes;yes;yes;no;5;3;3;1;2;1
318;0;no;yes;yes;yes;yes;yes;yes;yes;4;3;4;1;1;5
319;0;no;yes;yes;yes;no;yes;yes;no;4;3;4;2;5;5
320;0;no;yes;yes;no;yes;yes;yes;no;4;4;4;3;3;5
321;0;no;yes;yes;no;yes;yes;yes;yes;5;2;2;1;2;5
322;0;no;yes;no;no;yes;yes;no;yes;4;2;2;1;1;3
323;0;no;yes;yes;yes;yes;yes;yes;no;3;3;2;2;2;3
324;0;no;yes;no;no;no;yes;yes;no;3;4;3;2;3;5
325;0;no;no;no;no;yes;yes;yes;no;3;3;3;2;3;2
326;0;no;no;no;yes;yes;yes;yes;no;4;3;3;2;2;3
327;0;no;no;no;yes;no;yes;yes;no;4;3;5;3;5;5
328;0;no;yes;no;no;yes;yes;yes;no;4;4;5;5;5;4
329;0;no;yes;yes;yes;yes;yes;yes;no;5;4;4;1;3;4
330;0;no;yes;yes;no;no;yes;yes;yes;4;3;3;1;2;4
331;0;no;yes;no;yes;yes;yes;yes;no;4;5;5;2;4;5
332;0;no;yes;no;no;yes;yes;yes;yes;4;4;3;1;1;5
333;0;no;no;no;yes;yes;yes;yes;no;5;3;4;1;1;4
334;0;no;no;no;yes;no;yes;yes;yes;4;3;3;1;1;2
335;0;no;no;no;yes;yes;yes;no;no;4;4;4;1;1;4
336;0;no;no;no;no;yes;yes;yes;no;4;4;5;1;3;5
337;1;no;no;yes;no;yes;yes;no;no;5;4;3;1;2;5
338;0;no;yes;yes;no;yes;yes;yes;yes;4;3;2;2;3;2
339;0;no;yes;no;no;yes;yes;yes;no;5;3;3;1;1;1
340;0;no;yes;yes;no;yes;yes;yes;no;4;3;3;2;3;2
341;1;no;no;yes;yes;yes;yes;yes;yes;4;3;4;1;3;3
342;1;no;yes;no;yes;yes;yes;yes;no;4;3;3;2;2;2
343;0;no;no;no;yes;yes;yes;yes;yes;4;3;3;1;3;5
344;1;no;yes;no;no;yes;yes;yes;yes;3;3;1;1;2;4
345;0;no;yes;no;no;yes;yes;yes;no;4;3;3;1;2;3
346;0;no;no;no;no;yes;yes;yes;yes;5;4;3;2;3;1
347;0;no;no;no;no;yes;yes;yes;yes;5;3;2;1;2;4
348;0;no;yes;yes;no;yes;yes;yes;yes;5;4;5;2;3;5
349;0;no;yes;yes;yes;yes;yes;yes;yes;4;4;3;1;3;4
350;1;no;yes;no;no;no;yes;yes;no;2;5;5;5;5;5
351;3;no;no;no;no;yes;yes;yes;no;5;4;4;3;3;2
352;0;no;yes;yes;no;yes;yes;yes;no;4;5;4;2;3;3
353;1;no;no;no;no;yes;no;yes;yes;4;3;3;2;3;3
354;1;no;yes;no;no;yes;yes;yes;no;4;4;4;3;3;5
355;0;no;yes;yes;yes;no;yes;yes;yes;4;5;5;1;3;2
356;0;no;yes;no;no;yes;yes;no;yes;5;3;4;1;1;5
357;0;no;yes;yes;yes;yes;yes;yes;no;4;3;3;1;2;5
358;0;no;no;no;no;yes;yes;no;yes;1;2;3;1;2;5
359;0;no;no;no;no;no;yes;yes;yes;3;3;2;1;2;3
360;0;no;no;no;no;yes;yes;yes;no;5;3;2;1;1;4
361;0;no;no;no;no;yes;yes;no;yes;4;3;4;1;4;5
362;1;no;no;no;yes;no;no;no;no;4;4;3;2;3;5
363;0;no;yes;no;no;yes;yes;yes;yes;4;3;2;1;3;3
364;0;no;yes;yes;yes;yes;yes;yes;yes;2;3;4;1;1;1
365;0;no;no;no;no;no;yes;no;no;3;2;2;1;2;3
366;0;no;yes;yes;no;yes;yes;no;no;3;3;4;2;4;3
367;0;no;no;yes;no;yes;yes;yes;yes;4;2;2;2;2;5
368;1;no;yes;yes;no;yes;yes;yes;yes;5;2;1;1;2;1
369;0;no;yes;yes;no;yes;yes;yes;yes;5;2;3;1;2;4
370;0;no;yes;yes;no;no;yes;yes;yes;3;2;2;4;2;5
371;2;no;no;no;yes;yes;yes;no;yes;3;2;2;1;1;3
372;0;no;yes;yes;yes;yes;no;yes;yes;4;3;3;2;3;3
373;0;no;no;no;yes;yes;yes;no;yes;3;4;3;1;1;3
374;0;no;no;no;yes;yes;yes;yes;no;3;5;5;1;3;1
375;0;no;no;no;no;yes;yes;yes;no;5;4;4;1;1;1
376;0;no;no;no;no;yes;yes;yes;no;4;3;2;1;2;4
377;2;no;yes;yes;no;no;yes;yes;yes;5;4;3;1;1;3
378;0;no;no;yes;yes;yes;yes;yes;no;5;4;3;3;4;2
